"","results_RF","results_naivebayes","Score_RF_regression","Outcome","IWH","IWD","IWA"
"1","loss","loss",-0.299733333333333,"loss",4.3,3.55,1.85
"2","loss","loss",-0.258366666666667,"draw",12,5.75,1.27
"3","win","loss",1.67756666666667,"win",1.37,5.25,7.75
"4","win","loss",1.11916666666667,"win",2.3,3.3,3.15
"5","loss","loss",-0.3333,"loss",5.5,3.9,1.63
"6","win","draw",-0.0657,"draw",2.05,3.65,3.55
"7","win","loss",0.355433333333333,"loss",1.6,4,5.75
"8","loss","loss",-1.16683333333333,"loss",7.5,5.25,1.37
"9","loss","loss",-1.63223333333333,"win",3.4,3.55,2.1
"10","draw","draw",0.1344,"win",1.8,3.85,4.3
"11","win","win",1.75803333333333,"win",1.12,10,19
"12","win","draw",1.55666666666667,"win",1.4,4.8,8
"13","draw","draw",-0.165866666666667,"loss",2.75,3.45,2.55
"14","win","win",-0.520233333333333,"win",1.77,3.85,4.4
"15","win","win",0.0679333333333333,"win",2.1,3.55,3.45
"16","loss","draw",0.6878,"win",2.5,3.65,2.6
"17","loss","loss",-0.262366666666667,"loss",3.45,3.5,2.1
"18","loss","loss",-0.180366666666667,"draw",3.3,3.4,2.2
"19","loss","loss",-0.432833333333333,"win",3.15,3.4,2.3
"20","win","win",0.636966666666667,"draw",2.3,3.45,3.1
"21","win","win",1.4032,"draw",1.9,3.65,4
"22","win","win",-0.523033333333333,"win",1.73,3.75,4.9
"23","win","win",1.2988,"win",1.5,4.5,6.5
"24","loss","loss",0.394266666666667,"draw",2.9,3.4,2.45
"25","loss","loss",-0.3819,"loss",4.4,3.7,1.8
"26","loss","loss",-1.1696,"loss",5.75,4.4,1.55
"27","win","win",-0.269333333333333,"draw",2,3.75,3.55
"28","loss","loss",-0.420066666666667,"win",3.6,4.1,1.9
"29","win","win",0.904166666666667,"draw",1.45,4.7,6.75
"30","win","loss",1.35503333333333,"win",2.3,3.15,3.4
"31","loss","draw",-0.0365333333333333,"loss",2.7,3.3,2.65
"32","loss","loss",0.650833333333333,"draw",4.7,3.85,1.73
"33","win","win",0.0222666666666666,"win",2.45,3.55,2.8
"34","loss","win",0.561733333333333,"win",2.85,3.3,2.5
"35","win","win",0.156133333333333,"win",2.3,3.55,3.05
"36","loss","loss",-1.4066,"win",11,6.25,1.27
"37","win","win",-0.2499,"win",2.55,3.15,2.9
"38","win","win",2.82153333333333,"win",1.22,6.75,13
"39","loss","draw",-0.043,"draw",2.15,3.5,3.4
"40","win","draw",-0.436866666666667,"win",2.15,3.45,3.45
"41","loss","win",-0.529466666666667,"loss",2.3,3.35,3.15
"42","win","win",0.0357,"loss",2.05,3.55,3.5
"43","loss","loss",-0.9613,"draw",5.5,4.3,1.57
"44","win","win",-0.2667,"loss",2.1,3.55,3.45
"45","win","win",0.00603333333333336,"win",1.55,4.1,6
"46","loss","win",-1.1218,"loss",9,6,1.3
"47","win","draw",1.43733333333333,"draw",2.2,3.45,3.25
"48","win","win",0.580533333333333,"win",1.95,3.55,3.95
"49","win","draw",0.9026,"win",1.8,3.7,4.3
"50","draw","loss",0.777166666666667,"win",2.95,3.3,2.45
"51","loss","loss",-0.641066666666667,"loss",4.7,3.7,1.75
"52","win","draw",0.9347,"draw",2.35,3.4,3
"53","win","win",1.33533333333333,"loss",1.3,6.25,8.75
"54","win","win",1.49936666666667,"win",1.2,6.75,13
"55","win","win",1.5419,"win",1.7,4,4.7
"56","win","loss",-0.588466666666667,"draw",2.75,3.35,2.6
"57","win","win",1.18666666666667,"win",1.73,3.9,4.5
"58","win","win",3.32053333333333,"win",1.15,9.5,16
"59","loss","loss",-0.976833333333333,"loss",3.3,3.3,2.25
"60","loss","loss",-0.0926666666666667,"loss",2.4,3.3,3
"61","loss","draw",-1.02736666666667,"loss",2.65,3.45,2.6
"62","win","draw",-0.199033333333333,"loss",1.95,3.5,4.1
"63","loss","loss",-0.8034,"loss",3.9,3.6,1.95
"64","loss","loss",-0.332566666666667,"win",3.4,3.5,2.15
"65","loss","loss",-0.615966666666667,"loss",3.25,3.6,2.15
"66","win","win",1.5035,"loss",1.15,8.5,18
"67","win","win",1.31316666666667,"win",1.63,4.2,4.9
"68","win","win",1.55006666666667,"win",1.25,6.5,11
"69","loss","draw",0.9181,"win",2.85,3.2,2.6
"70","win","win",0.0917,"loss",2.1,3.4,3.6
"71","loss","win",-0.432766666666666,"win",3.05,3.15,2.45
"72","win","loss",0.8271,"win",2.35,3.35,3.1
"73","loss","loss",-1.66226666666667,"loss",6,4.3,1.55
"74","win","loss",1.15213333333333,"loss",1.85,3.65,4.2
"75","loss","loss",-0.347533333333333,"loss",3.8,3.85,1.9
"76","loss","loss",-0.00860000000000001,"draw",3.85,3.65,1.95
"77","loss","loss",-0.836033333333333,"loss",3.3,3.5,2.15
"78","draw","win",1.1782,"loss",2.35,3.25,3.2
"79","loss","loss",-1.0359,"loss",4.5,3.85,1.75
"80","win","win",1.51976666666667,"win",1.53,4.4,6
"81","win","win",0.948366666666667,"win",1.33,5.5,9
"82","win","win",1.29556666666667,"win",1.3,5.5,11
"83","loss","draw",-0.8867,"loss",8.75,6,1.3
"84","win","draw",-0.664966666666667,"loss",2.05,3.55,3.6
"85","win","win",2.8737,"win",1.3,6,9
"86","loss","loss",-0.702433333333333,"loss",4,3.6,1.9
"87","win","win",0.871433333333333,"draw",1.45,4.7,6.5
"88","win","draw",1.28476666666667,"win",2,3.6,3.65
"89","win","win",1.95303333333333,"draw",1.12,8.75,20
"90","loss","win",-0.162266666666667,"loss",2.85,3.25,2.5
"91","loss","loss",-0.441566666666667,"loss",3.4,3.45,2.15
"92","win","win",1.0985,"loss",1.67,4,4.9
"93","loss","win",-0.338566666666667,"draw",5,3.8,1.7
"94","loss","loss",-0.2707,"win",5.5,4.5,1.55
"95","win","win",-0.707,"loss",2.25,3.55,3.1
"96","loss","win",-1.00593333333333,"loss",3.45,3.4,2.15
"97","win","win",0.8781,"draw",1.83,3.75,4.2
"98","win","draw",1.8778,"win",1.3,6,10
"99","win","win",0.594966666666667,"loss",2.05,3.45,3.75
"100","loss","loss",1.0303,"draw",2.6,3.45,2.65
"101","win","draw",1.25973333333333,"draw",2,3.5,3.8
"102","loss","loss",0.0830666666666667,"loss",3.35,3.4,2.2
"103","loss","loss",-1.00846666666667,"loss",5,3.95,1.67
"104","win","loss",1.2727,"win",1.8,3.55,4.6
"105","win","draw",3.38363333333333,"win",1.08,12,27
"106","loss","loss",-0.333566666666667,"draw",2.3,3.45,3.1
"107","win","draw",2.56166666666667,"win",1.53,4.4,5.75
"108","loss","loss",0.1041,"win",3.65,3.55,2
"109","loss","loss",-0.395766666666667,"win",4.1,3.6,1.9
"110","win","loss",-0.224166666666667,"draw",2.3,3.35,3.15
"111","win","draw",1.52726666666667,"draw",1.2,6.75,15
"112","win","win",-0.110266666666667,"win",1.95,3.6,3.85
"113","loss","loss",-0.7908,"win",4.1,3.75,1.85
"114","win","win",0.298166666666667,"loss",2.25,3.3,3.3
"115","loss","draw",-0.2167,"win",2.65,3.25,2.7
"116","loss","draw",-0.178333333333333,"win",2.7,3.3,2.65
"117","loss","loss",-0.338333333333333,"win",3.25,3.65,2.15
"118","win","loss",1.33183333333333,"win",1.65,4,5.25
"119","loss","loss",-1.1211,"loss",3.2,3.55,2.2
"120","win","draw",1.70523333333333,"win",1.4,4.8,7.5
"121","win","draw",1.2822,"loss",1.83,3.9,3.95
"122","win","loss",0.202233333333333,"draw",1.97,3.45,3.85
"123","win","loss",0.162766666666667,"win",2.5,3.2,2.95
"124","win","loss",-0.00923333333333334,"win",2.45,3.4,2.9
