"","results_RF","results_naivebayes","Score_RF_regression","Outcome","IWH","IWD","IWA"
"1","win","win",2.38713333333333,"win",1.15,8,18
"2","win","draw",0.872633333333334,"loss",2.3,3.3,3.2
"3","win","draw",0.279733333333334,"loss",2.65,3.4,2.65
"4","win","win",1.4443,"draw",1.7,4,4.7
"5","win","win",1.6921,"win",1.67,4.3,4.6
"6","win","win",1.39373333333333,"win",1.4,5.5,6.75
"7","loss","loss",0.443966666666667,"draw",2.7,3.6,2.5
"80","loss","loss",-0.3054,"loss",2.35,3.7,2.8
"81","loss","loss",-0.608033333333334,"win",6.75,4.7,1.43
"82","loss","loss",-0.904566666666667,"loss",2.45,3.35,2.8
"83","draw","loss",-0.1487,"win",2.7,3.3,2.55
"84","loss","loss",-0.6575,"loss",2.55,3.2,2.75
"85","loss","loss",-1.19456666666667,"win",12,7.5,1.2
"86","loss","draw",-0.2382,"draw",3.05,3.25,2.35
"165","win","win",1.05113333333333,"win",2.2,3.5,3.25
"166","loss","loss",-0.0393666666666667,"draw",3.6,3.7,1.95
"167","win","win",2.0832,"win",1.33,6,8.75
"168","loss","loss",-0.324466666666667,"loss",3.9,3.6,1.9
"169","win","win",1.19666666666667,"win",2.2,3.35,3.3
"170","win","draw",1.35506666666667,"win",2.4,3.4,2.8
"171","win","win",2.96346666666667,"win",1.27,6,10
"172","win","win",1.49766666666667,"draw",2.05,3.4,3.65
"211","win","draw",1.07773333333333,"draw",2.25,3.3,3.1
"212","loss","loss",-2.47606666666667,"loss",13,7.5,1.2
"213","loss","loss",-0.649066666666667,"draw",1.9,3.6,4
"214","loss","loss",-0.409433333333333,"draw",3.15,3.6,2.15
"215","loss","loss",-1.17666666666667,"draw",2.85,3,2.6
"216","win","win",1.94473333333333,"draw",1.95,3.7,3.75
"217","loss","loss",-0.603233333333334,"loss",4.7,3.9,1.7
"218","loss","loss",0.219866666666667,"draw",2.35,3.3,3.1
"219","win","draw",1.512,"win",1.25,7,10
"220","win","win",1.5588,"win",1.5,4.8,6
"221","win","draw",2.40126666666667,"win",1.27,6.25,10
"222","win","win",1.80573333333333,"win",1.7,3.65,5
"223","loss","draw",0.0298,"draw",2.85,3.7,2.35
"224","win","win",1.62606666666667,"win",1.65,3.9,5
"225","loss","loss",-1.18096666666667,"draw",2.95,3.5,2.35
"226","win","win",1.4648,"draw",1.75,3.9,4.3
"227","loss","loss",0.3257,"win",2.05,3.45,3.5
"228","loss","loss",-1.86223333333333,"loss",11,8,1.2
"229","draw","loss",-1.47443333333333,"loss",7,5,1.43
"230","win","loss",0.263233333333333,"win",2.95,3.4,2.3
"231","win","loss",0.0253666666666666,"loss",3.6,3.4,2.05
"232","loss","loss",-0.665266666666667,"draw",2.6,3.25,2.65
"233","loss","loss",-0.206366666666667,"loss",1.9,3.65,3.95
"234","win","draw",0.408833333333333,"draw",2.5,3.5,2.8
"235","win","win",1.04236666666667,"win",1.83,3.4,4.5
"236","loss","loss",-0.0313333333333334,"loss",2.9,3.3,2.4
"237","win","win",0.9785,"win",1.33,6,9
"238","loss","loss",-0.646433333333334,"loss",3.75,4.3,1.83
"239","win","loss",0.7774,"win",2.15,3.45,3.25
"240","win","win",0.0236,"win",2.4,3.35,2.9
"241","loss","loss",-0.266633333333333,"draw",2.35,3.75,2.7
"242","loss","loss",-0.638533333333334,"loss",5.25,4.3,1.57
"243","loss","loss",-1.24526666666667,"loss",3.6,3.6,2
"244","win","loss",0.2021,"draw",3.55,4,1.9
"245","loss","loss",-0.649433333333333,"loss",4.6,4.3,1.65
"246","win","win",0.950166666666667,"loss",2.1,3.6,3.3
"247","loss","loss",-0.525333333333333,"loss",2.65,3.3,2.65
